Name,Stars,Title,Date,Description
Rohit yadav,4.0,"4.0 out of 5 stars
Dabur Meswak Complete Oral Care Toothpaste",26/01/2024,"Dabur Meswak Complete Oral Care Toothpaste I used firts time and I am happy with this value of money 100%, quality of product very good, and good for the oral care."
Anabayan,5.0,"5.0 out of 5 stars
Unique taste and good product",29/01/2024,Unique taste and good product
Placeholder,5.0,"5.0 out of 5 stars
Good product",29/12/2023,I am first time use this product very well and very nice
G,3.0,"3.0 out of 5 stars
Used to be better",04/01/2024,Quality has definitely gone down since the start of this product. Disappointed
vinay sainath reddy,4.0,"4.0 out of 5 stars
Flavour is good",02/02/2024,The taste and flavour of this toothpaste Is good and refreshingEliminates the bad smell full dayThe flavour is bit hard for people with sensitive gumFor general persons it is an excellent productNot for sensitive gums
Seysmail,5.0,"5.0 out of 5 stars
Nice",13/01/2024,Worth the price
Suresh Singh,5.0,"5.0 out of 5 stars
Nice",26/12/2023,Good Product
Zaki,4.0,"4.0 out of 5 stars
Dabur miswak",10/02/2024,Good toothpaste to useSmell is good
Vikas,4.0,"4.0 out of 5 stars
Paste",17/01/2024,Good
Abhi,4.0,"4.0 out of 5 stars
Good one",08/01/2024,Its a good toothpaste
Abhay,4.0,"4.0 out of 5 stars
Good paste",18/12/2023,Good paste
Amazon Customer,4.0,"4.0 out of 5 stars
Good product.. standard delivery .. decent price",16/12/2023,What else for a paste..has long expiry..
Prasanna Bhat,5.0,"5.0 out of 5 stars
Worth it.",13/02/2024,A good buy.
Sandeep kkr,4.0,"4.0 out of 5 stars
Ok toothpaste",03/12/2023,Toothpaste mein saunf ki heavy smell hai .baki teeth ke liye better hai .no problem
Obito uchiha,5.0,"5.0 out of 5 stars
Best",31/01/2024,Ice
AB,4.0,"4.0 out of 5 stars
Overall good",05/12/2023,Fragrance is very good 👍
Raj Mavani,4.0,"4.0 out of 5 stars
Product is nice but little bit sweet.",28/11/2023,I buy for the small children for the sweetness 😁
Pavan Naik,5.0,"5.0 out of 5 stars
Worth full",21/01/2024,Indian products were dam good
Harichandan maharana,4.0,"4.0 out of 5 stars
Defective product received",15/11/2023,It is defective product and I have returned it and get my money back within 3 days.
Chetan Rathore,5.0,"5.0 out of 5 stars
Good",16/01/2024,Good
Kishanpithiya,5.0,"5.0 out of 5 stars
Good",05/01/2024,Good
Pradeep,4.0,"4.0 out of 5 stars
Taste",23/10/2023,Taste is totally different from other brand tooth paste. It's taste like Fennel ( based on my taste I feel )
Tapaspal,4.0,"4.0 out of 5 stars
Good",25/10/2023,Good
Ramakrishna Rao,5.0,"5.0 out of 5 stars
Worming",28/12/2023,Eirching
vasudeva rao,5.0,"5.0 out of 5 stars
Good",24/12/2023,Good
BInaya k.,4.0,"4.0 out of 5 stars
Good",21/09/2023,Offer price and market price are same
Krishna gupta,4.0,"4.0 out of 5 stars
Very good paste full freshness of mouth",24/09/2023,Like this product
Syed s.,4.0,"4.0 out of 5 stars
Good Toothpaste",03/09/2023,A nice Indian alternative toothpaste instead of using foreign brands.The flavour is mild and friendly for kids usage.
Somya Kiroula,5.0,"5.0 out of 5 stars
Good one",04/01/2024,Good oral care product
Sandeep Gaikwad,3.0,"3.0 out of 5 stars
Good",18/11/2023,Useful
Renuka prasanna,4.0,"4.0 out of 5 stars
Good taste",04/09/2023,It was very better compared to chemical colgate
Abivj,5.0,"5.0 out of 5 stars
Good",11/12/2023,Okay type
Seelam Suresh babu,4.0,"4.0 out of 5 stars
Usefull product",06/09/2023,Very big offer
Ratna Kumar,4.0,"4.0 out of 5 stars
Using from my childhood",17/08/2023,"It tastes bland for new users, never mind. Just don’t eat it. It is a great product"
Mahendra Patel,4.0,"4.0 out of 5 stars
Good Aayurvedik toothpaste",27/08/2023,Liked the smell and feeling good after use.
Sachin Surawar,5.0,"5.0 out of 5 stars
Excellent Product",11/11/2023,Delivery and imports process was excellent from ordering to receiving the product.
Aruna Koppu,4.0,"4.0 out of 5 stars
Ok",12/08/2023,Ok
Amazon Customer,5.0,"5.0 out of 5 stars
Very good product",06/11/2023,It is very good
NAJMUL ISLAM,5.0,"5.0 out of 5 stars
VERY SWEET, NICE SMELL",20/09/2023,"This toothpaste is awesome, I really like it. It doesn't have the chemical like taste. Taste like original meswak, so sweet. My recommendation to buy it definitely, I'll buy it again... 😊"
Soumit Das,4.0,"4.0 out of 5 stars
Quality",03/08/2023,Good Quality and packaging..
Sumo,4.0,"4.0 out of 5 stars
Very effective",25/06/2023,Been using for years.Good for gums and teeth but sometimes the breath doesn't remain so fresh after a while
rajendran.p,4.0,"4.0 out of 5 stars
Thank you ❤️",05/08/2023,Good 👍
Dilli krishna,4.0,"4.0 out of 5 stars
Good",29/07/2023,Good one
jpsinghaniya,4.0,"4.0 out of 5 stars
Hkl",23/07/2023,Very nice
sourav chakraborty,4.0,"4.0 out of 5 stars
Nice",22/07/2023,Good
Kanhaya Lal,5.0,"5.0 out of 5 stars
Good",23/10/2023,Awesome...
Shivani Parashwar,5.0,"5.0 out of 5 stars
Liked it",09/10/2023,I like the taste and affordable too
Sandip Sahoo,5.0,"5.0 out of 5 stars
Very nice 👍👍",16/10/2023,Very nice product
Sahil shah,5.0,"5.0 out of 5 stars
Ingredients",10/09/2023,It's best as it doesn't have chemicals like chlorine and flourine to keep your mouth fresh like Colgate which will help your teeth last long
Sandeep chaturvedi,4.0,"4.0 out of 5 stars
Quality",02/07/2023,Good
Sai inavolu,5.0,"5.0 out of 5 stars
Good product",09/10/2023,Nice product
Zulfeqar H.,3.0,"3.0 out of 5 stars
It's ok",25/09/2023,Thik he H
yusuf khan,4.0,"4.0 out of 5 stars
Good",04/07/2023,Awesome taste smell
Binoj,5.0,"5.0 out of 5 stars
Really good one",12/09/2023,Good toothpaste with good . It gives a real refreshing experience. I would really like to recommend this toothpaste.
Ms Khan,3.0,"3.0 out of 5 stars
Very good offer",18/09/2023,Very good product very good offer
Adv Vikas Nawathe,4.0,"4.0 out of 5 stars
Best Offer",20/06/2023,Thank you
NIKHIL D.,5.0,"5.0 out of 5 stars
Nice product.",30/09/2023,Good original product.
Narinder Verma,5.0,"5.0 out of 5 stars
Toothpaste",27/09/2023,Usefull product
Placeholder,5.0,"5.0 out of 5 stars
Freshness",23/09/2023,Good feeling
Raju,3.0,"3.0 out of 5 stars
good",15/09/2023,good product
[S]Sourovv,5.0,"5.0 out of 5 stars
Best toothpaste in my opinion",08/07/2023,It is just fantastic in terms of flavour. Solves bad breathe problem properly.  I only need little bit to effectively brush and clean my teeth. Also Price is very reasonable. No other brand has similar product which can compete with this.Try this if you haven't yet.
Kaushal Sharma,3.0,"3.0 out of 5 stars
Good toothpaste.",14/09/2023,Good toothpaste.
sububalu,5.0,"5.0 out of 5 stars
Good",15/09/2023,Healthy tooth paste from dabur
buyer,5.0,"5.0 out of 5 stars
value of money",21/09/2023,right choice
Jabeen,5.0,"5.0 out of 5 stars
Very good",20/09/2023,Very good
Dr Rayees Ahmad Bhat,5.0,"5.0 out of 5 stars
Works like charm.",01/09/2023,Very good product. I'm now a regular user of the paste. Took care of my teeth and gums
Sadek Shaikh,3.0,"3.0 out of 5 stars
Good product",08/09/2023,Valu for money
Sanjoy Som,3.0,"3.0 out of 5 stars
Average in quality",09/09/2023,This is an average quality product.
Placeholder,5.0,"5.0 out of 5 stars
Nice Product",09/09/2023,Nice toothpaste and effect on teeth
Ramesh,5.0,"5.0 out of 5 stars
Nice",14/09/2023,Super
Deepak Kumar,5.0,"5.0 out of 5 stars
Good Product",12/09/2023,Good Product
Syed Anas,3.0,"3.0 out of 5 stars
Average",29/08/2023,"Just ok ok, nothing special"
Imtiyaz,3.0,"3.0 out of 5 stars
Best",01/09/2023,Best
Mukesh Kumar,5.0,"5.0 out of 5 stars
Good product and service",24/08/2023,Very good product and service...Thank you Amazon.....
Shehbaz,2.0,"2.0 out of 5 stars
Taste is not good",07/09/2023,"Dabur's Maswak paste is ayurvedic by the way and it is good to use but its taste is not good due to which not everyone likes its test so use it.  Few people do. I also ordered the toothpaste from amazon in my house, but due to its taste not good and due to a couple of shortcomings, our family members have stopped using it.  And they are saying that our teeth are damaged, our gums are damaged, but I like it, but I don't like the taste, so I don't think it's very good, so I give this page and two stars."
DEEPU KUMAR,3.0,"3.0 out of 5 stars
Taste Is Not Recommendable",07/07/2023,"Taste is not so good although it cleans teeth properly, company should improve taste also"
Valencia,5.0,"5.0 out of 5 stars
Good",22/08/2023,Value for money as compared to store bought prices.
E.Subburam,5.0,"5.0 out of 5 stars
Meswak pastev",02/09/2023,Good product
kalim khan,3.0,"3.0 out of 5 stars
Good",17/08/2023,It is good product.
ROTHIN DUTTA,4.0,"4.0 out of 5 stars
Pure miswak",26/05/2023,The media could not be loaded.
Anand Girdhar,5.0,"5.0 out of 5 stars
Slowly but Genuinely effective on tooth plague/ tartar",18/06/2023,This has worked quite well when i used it due to having tooth plague and gums had some open wounds. It doesn't give any burning sensation while brushing. I would recommend this to all for daily use.
Placeholder,4.0,"4.0 out of 5 stars
Nice",10/04/2023,A nice alternative.. had to buy this as Vicco vajradanti was taking delivery charges..
Ritika Siddiqui,5.0,"5.0 out of 5 stars
Great product",11/08/2023,Must switch to this  if you are having gum issues
BuyerFreak,5.0,"5.0 out of 5 stars
Best mouth feel.",28/08/2023,Fresh and natural mouth feel. Pleasant.
Bansal,1.0,"1.0 out of 5 stars
Sodium saccharine content",08/02/2024,Since it is a branded product so nothing fishy here but beware of high sodium saccharine content. It leaves sweetness in mouth after brushing
SANJAY MISHRA,5.0,"5.0 out of 5 stars
Effective Ayurvedic Toothpaste",18/08/2023,"Smells good,doesn't foam too much,effectively cleans teeth.Definitely recommend."
Afjal razvi,5.0,"5.0 out of 5 stars
Bahut Acha hi",19/08/2023,Bahut Acha hi
dheeraj gupta,3.0,"3.0 out of 5 stars
Due to brand name I purchased but it’s average toothpaste",24/07/2023,Needs more wuality
SSN,4.0,"4.0 out of 5 stars
Good one",12/04/2023,Good product. Reasonable price.
Nishu.Rajput,5.0,"5.0 out of 5 stars
Excellent quality 👌",15/08/2023,Very good 👍
Herminder Kaur,5.0,"5.0 out of 5 stars
Too good",05/08/2023,Best parchase at such an adorable price.
Sk Sirajudddin Ahmed,5.0,"5.0 out of 5 stars
Good",17/08/2023,Nice product
Priyabrat,5.0,"5.0 out of 5 stars
Badhia",05/08/2023,Wow
Francis D Souza,5.0,"5.0 out of 5 stars
Good.",25/08/2023,Wonderful.
Raviteja Pathikonda,4.0,"4.0 out of 5 stars
Seal was broken",28/03/2023,
Akshay Kumar,3.0,"3.0 out of 5 stars
Good",14/07/2023,Really Good Deal
Prashant,5.0,"5.0 out of 5 stars
Very good Taste and Fresh",03/07/2023,Very nice and Fresh itemOriginal product and used before as well u can purchase without doubt.Thank you Amazon
Vikram,5.0,"5.0 out of 5 stars
Very good product",22/08/2023,Best taste and quality
Rahul jaiswal,4.0,"4.0 out of 5 stars
Very good product",29/03/2023,I like it
himanshu shukla,5.0,"5.0 out of 5 stars
Best Mouthwash",19/01/2024,Best ever
Vikram,5.0,"5.0 out of 5 stars
Good taste, flavour",25/12/2023,"Good taste, effective and longer freshness"
Jeyamurugan,4.0,"4.0 out of 5 stars
Strong mouth wash",30/12/2021,Use it after brushing your teeth. Do not drink or eat for 30 minutes after using it. Best to use it before sleep.Contains alcohol. Works bestIt is very hard to use undiluted solution initially. But once you were able to adjust to it you could see the resultsDo not use frequently / daily. Use only when you have bad breath / gum bleeding or any other simple dental problems
LUK,5.0,"5.0 out of 5 stars
Good",03/02/2024,Product as described
Anon,5.0,"5.0 out of 5 stars
Good",16/08/2023,All good
Telma,5.0,"5.0 out of 5 stars
Expensive",08/07/2023,"Good product, but its a little expensive."
Jyotika s.,3.0,"3.0 out of 5 stars
Smell like real alchol",12/02/2024,It's smell is embarrassing
Tamilselvan K,4.0,"4.0 out of 5 stars
Good",28/09/2022,Food
Good,3.0,"3.0 out of 5 stars
Ok",02/10/2023,Good
Alvita M.,1.0,"1.0 out of 5 stars
Wanted to exchange",26/01/2024,Please call. Got duplicate. It's not sealed.Taste n smell is not as I ordered earlier.
Mathew Joy,5.0,"5.0 out of 5 stars
One of the concentrated and best mouth wash available in Indian market",07/04/2015,"Listerine - The name says it allVery good quality mouth wash when compared to other competitor brands in Indian marketPros:Very much concentrate (first time users might feel it bit hard though)Does gives a clean feel after the use but do NOT expect peppermint / mint feel as this is Original flavor version.As the product concentration is bit high compared to other brands, some users can use it by diluting it with water. ;)Does the work pretty and comes in solid and firmly closed cap which you take take for travel without fear of leaking.Cons:The high concentration of the product might gives burning sensation for first time users. You may try in peppermint / mint flavor instead which I personally finds less concentrate and easy for first time users.This Original is not flavored this gives a weird taste for first time users.Personal Feel:I got used to the concentration of the product and dilute it some times while using. Also I usually buy Original flavor as it gives more clean feeling than feeling peppermint in mouth ;)Conclusion:Value for money and One of the concentrated mouthwash available in Indian market. First time users please make sure you do not mug in a huge amount to mouth!"
Jagdish,5.0,"5.0 out of 5 stars
Good mouthwash",04/12/2022,Using this product twice a day after brushing and feel satisfied with its quality. Hope its  chemical composition will not cause any damage to teeth and gums and will maintain oral health.
Jayaprashanth,5.0,"5.0 out of 5 stars
Best mouth wash for bad breath",25/07/2022,After my mom's cancer treatment her teeth is started to become week and created a bad breath and tooth pain and swelling of the gums have increased....after using this product now she is having a good result...thanks to Amazon and Listerine product
Middle Class Reviews,4.0,"4.0 out of 5 stars
Quite effective but Strong essence.",07/03/2017,"Listerine is very strong (though they have a range that's non-alcoholic) and I prefer the intense burn. They have quite a good range of flavours too, so it doesn't get boring, though I tend to stick with Original, Spearmint and Fresh Mint.I've tried other brands, but none of them seem to be as strong as Listerine, and often, the flavours don't taste as good either. The only flavour of Listerine that I really don't like is the flavour of the Whitening mouthwash...It is one of the pricier mouthwashes, but they are also often on sale - so it works out.___________________________________________________________________Thankyou for your giving your precious time in reading this review."
Suhail Parvez,5.0,"5.0 out of 5 stars
IT'S A RELIABLE LIFELONG COMPANION",25/03/2022,I use it whenever I want to feel my mouth as EXTRA FRESH. Have been using it regularly since college in the 1960's. Still at it 60 years later! Have introduced it to to numerous others. Am very glad that I started this invaluable habit decades ago.
sunil,4.0,"4.0 out of 5 stars
Original",25/03/2022,It's aurthtic and original classic brand without much add-on flavour.I started with this variant and it's still better than others
Ramesh Velusamy,4.0,"4.0 out of 5 stars
👍ok",08/06/2022,Ok
S K Mankar,3.0,"3.0 out of 5 stars
Leaking bottle",13/10/2022,The entire packet was wet with contents leaked
D Sinha,4.0,"4.0 out of 5 stars
Doesn't cause acidity",19/03/2022,Doesn't cause acidity
Vijayalakshmanacharyulu.M,5.0,"5.0 out of 5 stars
I ordered second time so igot maney of them",22/09/2022,I like very much
Ayush S.,5.0,"5.0 out of 5 stars
Exactly as expected",30/08/2022,Good quality and neutral flavor
Amit Avchare,5.0,"5.0 out of 5 stars
Good",06/10/2022,Good
Sudipa,3.0,"3.0 out of 5 stars
Strong taste",02/02/2022,Is so strong that I couldn't keep it in mouth for 30 second..I stopped using this after two uses
Amazon Customer,3.0,"3.0 out of 5 stars
Price and offers",17/02/2021,On Jiomart it was buy 1 get 1. But I want only single piece due to which I had to order on Amazon. Product is good but there is one cons that it can destroy your taste buds. So consult your doctor before purchasing.
Fayas,5.0,"5.0 out of 5 stars
Good product",25/08/2022,Product is good
VEE,5.0,"5.0 out of 5 stars
Very strong taste",11/05/2018,"I have used many mouthwash products. I have also tried other Listerine flavor.As far as this product goes. It is a nice product. It has strongest flavor and aroma.It stings/ You can either dilute it with water or take less to avoid burning sensation in mouth.As far as alcohol taste and sensation goes, Listerine is not hiding the fact that It uses some kind of alcohol in its ingredient.Wait for at least 30 minutes before eating something."
Johnnie Sinclair,4.0,"4.0 out of 5 stars
Listerine is Good",29/07/2020,"I can't say that I enjoy the flavour, but after brushing, I use this mouthwash and my gob feels fresh and clean."
KSN,4.0,"4.0 out of 5 stars
Good product",25/04/2021,Very good for mounth wash
Kalyan Kar,5.0,"5.0 out of 5 stars
good",11/06/2022,good
Naveen,2.0,"2.0 out of 5 stars
Doesn't taste good",11/12/2022,Doesn't taste good feel in mouth like Dettol
Akin,5.0,"5.0 out of 5 stars
Best",09/04/2022,Do not uue brushes
Gaurav Mehta,5.0,"5.0 out of 5 stars
The original Mouth wash",28/05/2021,Original is original!Very stringent tasteVery effective for mouth washHalf the quantity works wondersVery effective if you have swollen gums and plaque problem.
Placeholder,3.0,"3.0 out of 5 stars
Freshness and taste Hardness declined ,needs  improvement",14/01/2022,"Freshness and taste Hardness declined ,needs  improvement"
Ritesh K.,4.0,"4.0 out of 5 stars
I like it",13/02/2021,I like but it heavy concentrated
Mr P,5.0,"5.0 out of 5 stars
Best quality of mouth wash in Indian market",11/11/2018,"So I have tried colgate and listerine. Also tried various flavours of listerine. And this one , the Original flavour, is the most effective mouthwash currently in the market.Does it taste stingy? Yes. Does it burn? Yes. But that is what makes it effective. Avoid other flavours if you want the best effectiveness and go for this Original flavour."
Arjun,5.0,"5.0 out of 5 stars
Work what is ment for",15/04/2021,This is the original one and taste very different I mean bitter in taste.I tried other verient but this one is different
vishal,5.0,"5.0 out of 5 stars
It's very strong and good product",28/12/2021,Use with water best results
Rahul T.,5.0,"5.0 out of 5 stars
Strong taste - Best in class for plaque protection.",27/05/2014,This is a really good product recommended by most of the dentists in US. I lived there for over two years. This is the best plaque protection and gum disease protection product any dentist would recommend over there. It gives mouth a great warm sensation. I personally can't take mint anyways. Again the flavor is not sweet or anything. It also gives a bit of burning sensation. Its a strong product and totally serves the purpose. Have been using it over a year now and I feel addicted to it. Highly recommended.
Ms. Plainspoken,4.0,"4.0 out of 5 stars
Tried & Tested: Rid your Dandruff along with bad breath!",16/03/2017,"Listerine contains ingredients like menthol, eucalyptol, methyl salicylate, and thymol; these are known for their antifungal properties. Therefore it can prove to be a great solution for dandruff, although it cannot be used as a permanent cure for severe cases. Read complete review on the blog- msplainspoke.wordpress.com"
J. Patrao,4.0,"4.0 out of 5 stars
Best brand of mouthwash",16/08/2018,"Realized after buying that the flavoured one is better. Still, Listerine is Listerine, and is far better than Colgate and all of the others in the market."
ARPITA CHAKRABORTY,4.0,"4.0 out of 5 stars
Good product",30/01/2021,Mouthwash
Tarun Parihar,4.0,"4.0 out of 5 stars
King of mouthwash...",10/05/2019,Although it taste very bad but its the best one out of all mouthwash to clean ur teeth....
G NAVEEN KUMAR,5.0,"5.0 out of 5 stars
FRESH",29/12/2016,I have been using the Listerine Mouthwash Coolmint. That one was good.But this one is surely better than the that. It gives the refreshing feel to your mouth.Use it two times a day to have an ever-fresh mouth.Be a little bit cautious when using for the first time.Coz' it hurts(slight burns) a bit and make your eyes water.
Mohammad,5.0,"5.0 out of 5 stars
Nice as expected",27/03/2021,I like listerine original which is a very good mouth wash in terms of effectiveness
Siva kumar reddy,5.0,"5.0 out of 5 stars
Best",14/05/2021,"Great product, though flavor is bit strong and more freshness than mild flavor"
Tejas,5.0,"5.0 out of 5 stars
All in all a hood product",10/04/2021,Very satisfied; I have been using this product for a very long time.
googlEngineer,5.0,"5.0 out of 5 stars
wonderful",12/08/2017,i heard the original one was the best ever... ordered it and can't agree more... fantastic product... it's not fancy as other Listerine variations... but did the job... i don't get bad breath and throat issues now...here's a side note: spray it a little on your scalp to remove dandruff too...
Sreenuyadav,5.0,"5.0 out of 5 stars
Packing is very good",25/02/2021,The expiry date is May 23.Very good quality product.Go for it.
Om Prakash,5.0,"5.0 out of 5 stars
Proper mouth wash. Feel fresh.",26/09/2021,Like
n.m.singh,5.0,"5.0 out of 5 stars
Everything can be expected from Amazon.",21/02/2021,Excellent product and service from Amazon. Everything is possible on Amazon.
Amit Singh Jamwal,5.0,"5.0 out of 5 stars
As per results its good",08/09/2021,Nice product
Aragrawa,5.0,"5.0 out of 5 stars
Arguably the best generic oral hygiene product out there",08/03/2017,"Arguably the best generic oral hygiene product out there. I have been using this since 2002 and have had zero oral/dental issues along with regular brushing and flossing. I have tried other variants/flavors of Listerine, but none of them come close to delivering the results that this variant does."
Mrunal,4.0,"4.0 out of 5 stars
it's nice- just doesn't work for me. I'll go back to colgate mouthwash now.",26/08/2016,it's nice but undiluted gives burning sensation in mouth. i feel dizzy also afterwards.still i give it four star- because it's nice- just doesn't work for me. I'll go back to colgate mouthwash now.
Amazon Customer,5.0,"5.0 out of 5 stars
It cleans where toothbrush can't",05/06/2021,It's as mentioned on label
dil_dar_singh,5.0,"5.0 out of 5 stars
Great",18/08/2020,Great for cleaning I had pain in my wisdom tooth it helped me alot
Placeholder,5.0,"5.0 out of 5 stars
Original",27/07/2021,Best product
Placeholder,5.0,"5.0 out of 5 stars
Listerine !",05/07/2021,Best mouth fresher
Bid,5.0,"5.0 out of 5 stars
GREAT PRODUCT👍👍👍",25/12/2017,"👍👍Give fresh breath upto 10 hours,Good against normal problem like cut,pain in mouth and teeth.Product delivered is of very current product.👎👎bad test, little burning feel after use👊👊Delaying delivery"
Nagendra,5.0,"5.0 out of 5 stars
Very good product",18/02/2021,Very useful . Provides good oral hygiene
aditya singh chauhan,5.0,"5.0 out of 5 stars
Best in the Class",27/08/2015,"This is the best mouthwash available in India, Far away better from other flavors and Volgate plaque. There is a little burning sensation as the product is highly concentrated but yes it just last for few seconds. Don't dilute this product with water, else you would not be getting a perfect clean mouth."
sajjad14374,3.0,"3.0 out of 5 stars
Confused item original or not",01/01/2021,Im confused this original or not
Amazon Customer,5.0,"5.0 out of 5 stars
You will thank yourself later.",20/07/2020,"This is the best possible solution to bleeding gums, cavities, mouth sores."
Erudite Reader,5.0,"5.0 out of 5 stars
Outstanding",13/08/2020,"Sooper se ooper. But mouth can burn off, if not careful."
ALIAS K.,5.0,"5.0 out of 5 stars
Excellent product",15/04/2021,Excellentproduct
Placeholder,5.0,"5.0 out of 5 stars
Go for it.value for mobey.",29/08/2020,Excellent product.must for every house. Especially in this pandemic period.
Aditya Dubay,5.0,"5.0 out of 5 stars
It's original",28/03/2021,Its original
DDR,4.0,"4.0 out of 5 stars
Good product",18/10/2019,Good product
Gopathy Gopaiah,4.0,"4.0 out of 5 stars
Super",27/01/2020,No
Shalini Pandey Budhlakoti,5.0,"5.0 out of 5 stars
Got it at a lightning deal and its pretty good for mouth wash",25/08/2015,Got it at a lightning deal and its pretty good for mouth wash...I have been using it for quite sometime and as soon as I saw this product in lightning deal I purchased it coz you get from shops at regular printed price.
cherian abraham,5.0,"5.0 out of 5 stars
... Listerine regular for many years and it is the best product for dental hygiene after brushing your teeth",03/05/2018,I have been using Listerine regular for many years  and it is the  best product for dental hygiene after brushing your teeth.
Amazon Customer,5.0,"5.0 out of 5 stars
Real and effective",22/03/2021,Excellent
debashish,5.0,"5.0 out of 5 stars
Great",19/03/2021,Great
S T Sambandan,5.0,"5.0 out of 5 stars
Listerine",14/02/2021,very good product.
Zarine Tirmizi,5.0,"5.0 out of 5 stars
Worth Every Drop",22/04/2015,"This is a hygiene product and needs no review. Those who use it know its worth. Those who don't should start. A must have in my bathroom. Yes, it reached me before the stipulated date of delivery."
Premsundar Palaparthi,5.0,"5.0 out of 5 stars
Very good",07/02/2021,Good
J L,4.0,"4.0 out of 5 stars
Strong and effective.",23/05/2016,"To start, it is very strong. Better to use less than the recommended quantity. Otherwise, its a very good old fashioned effective mouthwash."
Quality Analyst,3.0,"3.0 out of 5 stars
An usual product.",05/08/2020,Nothing extraordinary. Usual product.
Raman Goel ✔,5.0,"5.0 out of 5 stars
VERY STRONG , FOR ADULTS ONLY",27/10/2015,"It is very strong , you can feel some burning sensation , but feels it actually work ..first time user...be alert !! Do not take it undiluted form....do not take it when you suffer from canker sore ..It may severe the problem"
likitha,5.0,"5.0 out of 5 stars
Good",05/10/2016,Purchased this for 200 bucks I guess. And this is one huge bottle. :p did not realize that it is a 500 ml bottle. However it nice.
Amazon Customer,5.0,"5.0 out of 5 stars
Good",03/01/2021,Perfect
Bunny boy,5.0,"5.0 out of 5 stars
Very strong",28/02/2017,Is very hard to say is good but is very strong. U can't hold it in mouth for 30 seconds. But is good for bad breath.!
Jormund Elver,5.0,"5.0 out of 5 stars
Refreshing aftertaste, does what it says.",29/06/2015,"Very stingy taste in the mouth, but refreshing feeling after use. Always use this immediately after brushing and do not eat or drink anything after at least half an hour of consuming this."
Deepak,5.0,"5.0 out of 5 stars
Most powerful mouth wash ever",08/09/2017,Its most powerful mouthwash and it very effective. Go for it. Other brands dont match this product effecasy.
Luck (prasasnna),3.0,"3.0 out of 5 stars
Disappoint",23/01/2020,Not good
LAVIS V,5.0,"5.0 out of 5 stars
Best mouthwash",23/12/2018,Very much needed at home for regular mouth wash
NEHA PATNAIK,3.0,"3.0 out of 5 stars
It's okay",14/08/2016,"It tastes yukk looks yukk too. My husband told me if I have got pee inside Listerine bottle 😥But serves its purpose, give freshness n has a decent staying power. Definitely would prefer coolmint over this."
Amazon Customer,3.0,"3.0 out of 5 stars
Good",15/01/2020,Good
Prasheek Tayade,5.0,"5.0 out of 5 stars
Amazing Amazon",09/04/2019,"Product delivered in shape, go for it."
Akash,5.0,"5.0 out of 5 stars
Great",24/11/2019,Great
RAJEEV,5.0,"5.0 out of 5 stars
... was delivered before the time frame this is really great",24/09/2017,The product was delivered before the time frame this is really great
SB,4.0,"4.0 out of 5 stars
Value for money",19/06/2018,Good
Gaurav G.,5.0,"5.0 out of 5 stars
Good product",29/10/2019,Good product
Sourav Monga,5.0,"5.0 out of 5 stars
Best",15/03/2019,Good
Ayushi yadav,5.0,"5.0 out of 5 stars
Good product  and worth it",30/09/2023,I personally like this product it's work good and it's also work in tooth cavity pain totally worth it .and gives u fresh breath
Pramit,5.0,"5.0 out of 5 stars
The best mouthwash.",22/05/2015,The original Listerine flavour. My favourite mouthwash. It may be a bit too strong for some people but it does the job brilliantly.
Joe,5.0,"5.0 out of 5 stars
Taste is too strong but I love it",02/11/2015,Absolute winner. I have been a fan of the Original Listerine. For some it might taste too strong
tulikai,5.0,"5.0 out of 5 stars
buy only original golden color listerine only",02/11/2017,original is only good other flavour is fake
Dsk,5.0,"5.0 out of 5 stars
Satisfied delivery",18/10/2018,Nice original product
Mubashshir,5.0,"5.0 out of 5 stars
I like it",10/09/2018,I like it
Amazon Customer,5.0,"5.0 out of 5 stars
Great product",08/09/2016,Good effective product. Bit strong so users should take care to dilute it before use.
Vijay Sarapure,5.0,"5.0 out of 5 stars
The Best Anti Stain Toothpaste I have ever used",13/12/2022,"I have been using this toothpastefor almost a week now and I can honestly say it's the best stain remover oral product I have used. I have been using twice daily and can already feel benefits of the quality stain removal and whitening. The flavour of this toothpaste is one I really like and gives you that long-lasting freshness. I am a big coffee drinker and have found that over time my teeth are not as white as they once was and I do have a bit of staining on the inside of my bottom teeth. I can already see that my teeth are looking healthier and stronger even after 1 week of use. Having the stain prevention within this toothpaste is really appealing, as it's nice to know that your teeth will not just return to how they was after a period of time. Im feeling much more confident and I know in time my teeth will just keep on looking better and better. This toothpaste is definitely an expertly made product and I would highly recommend to all."
Amazon Customer,4.0,"4.0 out of 5 stars
Very Good Product",24/11/2023,My dentist recommended me this tooth paste. It is very good at removing plaque. Not sure about teeth whitening maybe just a shade lighter do not expect more.
Amazon Customer,3.0,"3.0 out of 5 stars
Quality",31/01/2024,Very Good Product.
Sav,1.0,"1.0 out of 5 stars
Does not work",06/02/2024,I had to throw it . It’s that bad .
Neeraj t.,5.0,"5.0 out of 5 stars
Useful",15/01/2024,Good really works
Winny,5.0,"5.0 out of 5 stars
Highly recommended",04/02/2024,"I recently tried this teeth whitening toothpaste, and I'm thrilled with the results! The minty flavor is refreshing, and after just a week of use, I noticed a significant improvement in the brightness of my smile. I highly recommend it."
mennidurgaprasad,2.0,"2.0 out of 5 stars
Not bad",02/02/2024,Notbad
