Name,Rating,Date,Review,Title,Score,Compound,Sentiment
Mir,4,09-10-2023,delivers refreshing experience minty freshness invigorates effectively whitening teeth easy application natural ingredients,refreshing,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.886}",0.886,positive
Adnan K.,5,12-01-2024,st use see difference flavour good super minty flavour,great product,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.8368}",0.8368,positive
Venkata Subrahmanyam Telikicherla,5,15-01-2024,media not loaded i purchased triple mint flavour good excellent mouth fresh also start brushing teeth first day onwards observed teeth glittering feel fresh,excellent product,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.895}",0.895,positive
Dhrushita,5,18-01-2024,use since week see visible results,great product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Ashif Ali Mollick,4,08-08-2023,day since tried product awhile see whitening result mint taste refreshing since powder form worried multiple people use hygiene purpose need dip damp brush bottle use form product suggestion,mint taste delightful,"{'neg': 0.033, 'neu': 0.967, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Maheswar Reddy,3,24-11-2023,didnt see r,effect,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Pradeep Rajput,4,07-10-2023,take time really effective highly recommended,good,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8236}",0.8236,positive
Amazon Customer,4,15-10-2023,products actually looks cool satisfactory,perfora,"{'neg': 0.0, 'neu': 0.51, 'pos': 0.49, 'compound': 0.5859}",0.5859,positive
Amazon Customer,4,01-10-2023,liked feel mouth use definitely removes plaquetoo early tell whitens teeth,good,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7184}",0.7184,positive
Mayank anand,4,29-09-2023,product easy use works see results days,nice product worth buy,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.6124}",0.6124,positive
Tina,4,21-09-2023,product good works long use continuously teeth returns previous condition,good quality,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.2382}",0.2382,positive
Balaji Subramanian,4,30-07-2023,never use product teeth whitening bring issue yellow tint upper incisors drastic change noticeable consistancy important also like freshness mint flavor powder also use watermelon mint toothpaste perfora prefer flavor freshness also lasts longer,definitely noticeable change,"{'neg': 0.037, 'neu': 0.89, 'pos': 0.072, 'compound': 0.3919}",0.3919,positive
Om Prakash Ray,3,10-11-2023,ok,ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,positive
Meda,3,29-10-2023,thing works freshness oder mintapart thatit regular tooth paste powder,mint,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
This product is beautiful and cost effective,4,06-10-2023,good product,white teethening powder,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Amazon Customer,5,06-01-2024,toothpaste tastes nice feel effective first brush,taste,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.7346}",0.7346,positive
Abhishek,4,19-09-2023,packaging good early delivery refreshing easy use result,good product easy use,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}",0.7003,positive
Abhineet Jain,4,30-09-2023,nice texture taste,good product,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,positive
Subham,4,19-09-2023,powder refreshing also smooth liked,fine powder smooth,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.4728}",0.4728,positive
Sheetal Dewani,5,08-12-2023,perfora good product whitening teeth teeth shine since use product strongly recommend use pocket friendly regular coffee user perfora really helped whiten teeth,effective natural,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6701}",0.6701,positive
Rahgir,5,17-12-2023,initially start use not showing much results days regular use start show really good results,patient actually works,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.6474}",0.6474,positive
Swati,4,06-09-2023,use week product really good refreshing visble results regular use,good product,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4927}",0.4927,positive
Parag Sen,5,03-08-2023,recently buy perfora teeth whitening powder say totally exceeded expectations teeth whitener total game changer comes brighter smile better enamel safe first thing catch attention natural formula really conscious use harsh chemicals love made activated charcoal natural ingredients made feel ease know use safe gentle product teethusing powder breeze genuinely amazed immediate results use really fantastic job lifting surface stains leave teeth noticeably whiter brighter bonus helped reduce plaque freshen breathoverall super happy perfora teeth whitening powder highly recommend anyone looking effective safe way whiten teeth definitely worth penny,absolutely love,"{'neg': 0.014, 'neu': 0.711, 'pos': 0.275, 'compound': 0.9946}",0.9946,positive
Chander Kant (CK),5,13-01-2024,media not loaded it smell excellent perfect indian brandsomeday,sooo good,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8268}",0.8268,positive
Anupama A,5,22-12-2023,buy weeks ago use times week bad taste feel removes stains pretty recommend,works claimed,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8793}",0.8793,positive
Poulome,4,08-08-2023,delivered today agree taste refreshing aftertaste really kintu fresh regarding effectiveness use month see yellow stains let see works,perfora teeth whitening powder og,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.6204}",0.6204,positive
Good and effective,4,23-09-2023,good product effective way clean teeth,good effective,"{'neg': 0.0, 'neu': 0.365, 'pos': 0.635, 'compound': 0.8271}",0.8271,positive
Abhay,3,24-10-2023,like taste use teething whitening use days awaiting results,perfora teeth whitening powder,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}",0.3612,positive
rahul,4,13-09-2023,product good see immediate improvementalso reasonable compare products market,worth buy,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",0.4404,positive
Gaurav Pansare,5,01-08-2023,hey regular tea coffee user teeth gradually turned yellowish need solution lot products online read reviews decided grab received use days continuously start see little difference discoloration teeth actual results know usage month atleast soon feel little difference want share people struggling issue surely give try cruelty free vegan sls paraben free artificial flavors added non gmo almost look days purchasing cosmetic thing rest understand depends personal experience experience good far,good product,"{'neg': 0.066, 'neu': 0.816, 'pos': 0.118, 'compound': 0.8481}",0.8481,positive
Sidd,4,03-09-2023,smell really good need use longer period comment effectiveness,smell really good need use longer period comment effectiveness,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4927}",0.4927,positive
Jasmeet Kaur,4,10-09-2023,like product use much taste good,nice product,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}",0.6808,positive
Unnati,5,14-12-2023,use product use see good results mint flavour refreshing really love product,review,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.8104}",0.8104,positive
Ekta Desai,5,30-12-2023,teeth gradually whiter,really works,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Black panther,4,12-08-2023,product good comes good packaging smell product really good quantity also good compare price,good product,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.9039}",0.9039,positive
Ishaan Sharma,4,08-09-2023,useful product good teeth whitening smell also good,review,"{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.8271}",0.8271,positive
Muneza kosar,5,13-12-2023,fragrance good tingling sensation brushing effectiveness reviewed days,nice product review days effective ness,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.2382}",0.2382,positive
Mr. Nawab,5,20-12-2023,media not loaded very good gums teeth removes yellow stain teeth make strong healthy gums use tho month result g,gums teeth,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.836}",0.836,positive
senthilkumar,5,21-12-2023,awesome product trustable suggetion,awesome,"{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.8268}",0.8268,positive
SUCHITHRA BALIGA B,5,03-12-2023,use product days amazing results teeth looks polished shiny yellowish stain start reducing thank perfora,teeth whitening really works,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.743}",0.743,positive
Piyush Vig,5,19-12-2023,its useful productit really helped keep teeth,useful,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,positive
Dharmesh Tolia,5,27-01-2024,dabur meswak complete oral care toothpaste game changer daily dental routine refreshing blend meswak not leaves mouth feel incredibly clean also ensures gums stay healthy conventional toothpaste addressing cavity concerns promoting overall oral natural ingredients give confidence choice use dabur meswak satisfying ritual leave lasting clean feel genuine smile toothpaste holistic approach oral care,toothpaste holistic approach oral care,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9879}",0.9879,positive
Rohit yadav,4,26-01-2024,dabur meswak complete oral care toothpaste use firts time happy value money quality product good good oral care,dabur meswak complete oral care toothpaste,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.9575}",0.9575,positive
Anabayan,5,29-01-2024,unique taste good product,unique taste good product,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
Placeholder,5,29-12-2023,first time use product nice,good product,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.669}",0.669,positive
G,3,04-01-2024,quality definitely since start product disappointed,use better,"{'neg': 0.196, 'neu': 0.633, 'pos': 0.171, 'compound': -0.1027}",-0.1027,negative
vinay sainath reddy,4,02-02-2024,taste flavour toothpaste good refreshingeliminates bad smell daythe flavour bit people sensitive gumfor general persons excellent productnot sensitive gums,flavour good,"{'neg': 0.115, 'neu': 0.729, 'pos': 0.155, 'compound': 0.4019}",0.4019,positive
Seysmail,5,13-01-2024,worth price,nice,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,positive
Suresh Singh,5,26-12-2023,good product,nice,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Zaki,4,10-02-2024,good toothpaste usesmell good,dabur miswak,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,positive
Vikas,4,17-01-2024,good,paste,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Abhi,4,08-01-2024,good toothpaste,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Abhay,4,18-12-2023,good paste,good paste,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Amazon Customer,4,16-12-2023,pastehas long expiry,good product standard delivery decent price,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Prasanna Bhat,5,13-02-2024,good buy,worth,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
Sandeep kkr,4,03-12-2023,toothpaste mein saunf ki heavy smell hai baki teeth ke liye better hai problem,ok toothpaste,"{'neg': 0.145, 'neu': 0.699, 'pos': 0.156, 'compound': 0.0516}",0.0516,positive
Obito uchiha,5,31-01-2024,ice,best,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
AB,4,05-12-2023,fragrance good,overall good,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",0.4927,positive
Raj Mavani,4,28-11-2023,buy small children sweetness,product nice little bit sweet,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,positive
Pavan Naik,5,21-01-2024,indian products dam good,worth,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
Harichandan maharana,4,15-11-2023,defective product returned money back within days,defective product received,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative
Chetan Rathore,5,16-01-2024,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Kishanpithiya,5,05-01-2024,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Pradeep,4,23-10-2023,taste totally different brand tooth paste taste like fennel base taste feel,taste,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,positive
Tapaspal,4,25-10-2023,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Ramakrishna Rao,5,28-12-2023,eirching,worming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
vasudeva rao,5,24-12-2023,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
BInaya k.,4,21-09-2023,offer price market price,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Krishna gupta,4,24-09-2023,like product,good paste freshness mouth,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
Syed s.,4,03-09-2023,nice indian alternative toothpaste instead use foreign brandsthe flavour mild friendly kids usage,good toothpaste,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7184}",0.7184,positive
Somya Kiroula,5,04-01-2024,good oral care product,good,"{'neg': 0.0, 'neu': 0.247, 'pos': 0.753, 'compound': 0.7269}",0.7269,positive
Sandeep Gaikwad,3,18-11-2023,useful,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Renuka prasanna,4,04-09-2023,better compare chemical colgate,good taste,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,positive
Abivj,5,11-12-2023,okay type,good,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,positive
Seelam Suresh babu,4,06-09-2023,offer,usefull product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Ratna Kumar,4,17-08-2023,tastes bland new users never mind dont eat great p,use childhood,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.6249}",0.6249,positive
Mahendra Patel,4,27-08-2023,liked smell feel good use,good aayurvedik toothpaste,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.7351}",0.7351,positive
Sachin Surawar,5,11-11-2023,delivery imports process excellent ordering receiving product,excellent product,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,positive
Aruna Koppu,4,12-08-2023,ok,ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,positive
Amazon Customer,5,06-11-2023,good,good product,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,positive
NAJMUL ISLAM,5,20-09-2023,toothpaste awesome really like doesn chemical like taste taste like original meswak sweet recommendation buy definitely buy,sweet nice smell,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9595}",0.9595,positive
Soumit Das,4,03-08-2023,good quality packaging,quality,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Sumo,4,25-06-2023,use yearsgood gums teeth sometimes breath doesn remain fresh,effective,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6107}",0.6107,positive
rajendran.p,4,05-08-2023,good,thank,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Dilli krishna,4,29-07-2023,good,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
jpsinghaniya,4,23-07-2023,nice,hkl,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4754}",0.4754,positive
sourav chakraborty,4,22-07-2023,good,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Kanhaya Lal,5,23-10-2023,awesome,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,positive
Shivani Parashwar,5,09-10-2023,like taste affordable,liked,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,positive
Sandip Sahoo,5,16-10-2023,nice product,nice,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,positive
Sahil shah,5,10-09-2023,best doesn chemicals like chlorine flourine keep mouth fresh like colgate help teeth long,ingredients,"{'neg': 0.062, 'neu': 0.592, 'pos': 0.346, 'compound': 0.8621}",0.8621,positive
Sandeep chaturvedi,4,02-07-2023,good,quality,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Sai inavolu,5,09-10-2023,nice product,good product,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
Zulfeqar H.,3,25-09-2023,thik h,ok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
yusuf khan,4,04-07-2023,awesome taste smell,good,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,positive
Binoj,5,12-09-2023,good toothpaste good gives real refreshing experience really like recommend toothpaste,really good,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8849}",0.8849,positive
Ms Khan,3,18-09-2023,good product good offer,good offer,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7496}",0.7496,positive
Adv Vikas Nawathe,4,20-06-2023,thank,best offer,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,positive
NIKHIL D.,5,30-09-2023,good original product,nice product,"{'neg': 0.0, 'neu': 0.161, 'pos': 0.839, 'compound': 0.6369}",0.6369,positive
Narinder Verma,5,27-09-2023,usefull product,toothpaste,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Placeholder,5,23-09-2023,good feel,freshness,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,positive
Raju,3,15-09-2023,good product,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
[S]Sourovv,5,08-07-2023,fantastic terms flavour solves bad breathe problem properly need little bit effectively brush clean teeth also price reasonable brand similar product compete thistry yet,best toothpaste opinion,"{'neg': 0.148, 'neu': 0.664, 'pos': 0.188, 'compound': 0.3309}",0.3309,positive
Kaushal Sharma,3,14-09-2023,good toothpaste,good toothpaste,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
sububalu,5,15-09-2023,healthy tooth paste dabur,good,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
buyer,5,21-09-2023,right choice,value money,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Jabeen,5,20-09-2023,good,good,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,positive
Dr Rayees Ahmad Bhat,5,01-09-2023,good product regular user paste take care teeth gums,works like charm,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.7501}",0.7501,positive
Sadek Shaikh,3,08-09-2023,valu money,good product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Sanjoy Som,3,09-09-2023,average quality product,average quality,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Placeholder,5,09-09-2023,nice toothpaste effect teeth,nice product,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,positive
Ramesh,5,14-09-2023,super,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,positive
Deepak Kumar,5,12-09-2023,good product,good product,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Syed Anas,3,29-08-2023,ok ok nothing special,average,"{'neg': 0.303, 'neu': 0.402, 'pos': 0.295, 'compound': -0.015}",-0.015,negative
Imtiyaz,3,01-09-2023,best,best,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,positive
Mukesh Kumar,5,24-08-2023,good product servicethank amazon,good product service,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.5984}",0.5984,positive
Shehbaz,2,07-09-2023,dabur maswak paste ayurvedic way good use taste not good due not likes test use people also ordered toothpaste amazon house due taste not good due couple shortcomings family members stopped use say teeth damaged gums damaged like like taste think good give page stars,taste not good,"{'neg': 0.175, 'neu': 0.733, 'pos': 0.092, 'compound': -0.8858}",-0.8858,negative
DEEPU KUMAR,3,07-07-2023,taste not good although cleans teeth properly company improve taste also,taste not recommendable,"{'neg': 0.16, 'neu': 0.687, 'pos': 0.153, 'compound': -0.0332}",-0.0332,negative
Valencia,5,22-08-2023,value money compare store buy prices,good,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34,positive
E.Subburam,5,02-09-2023,good product,meswak pastev,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
kalim khan,3,17-08-2023,good product,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
ROTHIN DUTTA,4,26-05-2023,media not loaded,pure miswak,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Anand Girdhar,5,18-06-2023,worked quite use due tooth plague gums open wounds doesn give burning sensation brushing recommend daily use,slowly genuinely effective tooth plague tartar,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.5984}",0.5984,positive
Placeholder,4,10-04-2023,nice alternative buy vicco vajradanti take delivery charges,nice,"{'neg': 0.124, 'neu': 0.71, 'pos': 0.166, 'compound': 0.1779}",0.1779,positive
Ritika Siddiqui,5,11-08-2023,switch gum issues,great product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
BuyerFreak,5,28-08-2023,fresh natural mouth feel pleasant,best mouth feel,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.7964}",0.7964,positive
Bansal,1,08-02-2024,since branded product nothing fishy beware high sodium saccharine content leaves sweetness mouth brushing,sodium saccharine content,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.6486}",0.6486,positive
SANJAY MISHRA,5,18-08-2023,smells gooddoesn foam mucheffectively cleans teethdefinitely recommend,effective ayurvedic toothpaste,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.3612,positive
Afjal razvi,5,19-08-2023,bahut acha hi,bahut acha hi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
dheeraj gupta,3,24-07-2023,need wuality,due brand name purchased its average toot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
SSN,4,12-04-2023,good product reasonable price,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Nishu.Rajput,5,15-08-2023,good,excellent quality,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,positive
Herminder Kaur,5,05-08-2023,best parchase adorable price,good,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.8126}",0.8126,positive
Sk Sirajudddin Ahmed,5,17-08-2023,nice product,good,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
Priyabrat,5,05-08-2023,wow,badhia,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,positive
Francis D Souza,5,25-08-2023,wonderful,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,positive
Raviteja Pathikonda,4,28-03-2023,nan,seal break,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Akshay Kumar,3,14-07-2023,really good deal,good,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,positive
Prashant,5,03-07-2023,nice fresh itemoriginal product use u purchase without doubtthank amazon,good taste fresh,"{'neg': 0.065, 'neu': 0.602, 'pos': 0.333, 'compound': 0.7382}",0.7382,positive
Vikram,5,22-08-2023,best taste quality,good product,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,positive
Rahul jaiswal,4,29-03-2023,like,good product,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
himanshu shukla,5,19-01-2024,best,best mouthwash,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
Vikram,5,25-12-2023,good taste effective longer freshness,good taste flavour,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7184}",0.7184,positive
Jeyamurugan,4,30-12-2021,use brushing teeth not drink eat minutes use best use sleepcontains alcohol works bestit use undiluted solution initially able adjust see resultsdo not use frequently daily use bad breath gum bleeding simple dental problems,strong mouth wash,"{'neg': 0.124, 'neu': 0.822, 'pos': 0.055, 'compound': -0.7504}",-0.7504,negative
LUK,5,03-02-2024,product described,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Anon,5,16-08-2023,good,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Telma,5,08-07-2023,good product little expensive,expensive,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.2382}",0.2382,positive
Jyotika s.,3,12-02-2024,smell embarrassing,smell like real alchol,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.3818}",-0.3818,negative
Tamilselvan K,4,28-09-2022,food,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Good,3,02-10-2023,good,ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Alvita M.,1,26-01-2024,please call duplicate not sealedtaste n smell not ordered earlier,want exchange,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}",0.3182,positive
Mathew Joy,5,07-04-2015,listerine name says allvery good quality mouth wash compare competitor brands indian marketprosvery much concentrate first time users feel bit thoughdoes gives clean feel use not expect peppermint mint feel original flavor versionas product concentration bit high compare brands users use diluting water work pretty comes solid firmly closed cap take take travel without fear leakingconsthe high concentration product gives burning sensation first time users try peppermint mint flavor instead personally finds less concentrate easy first time usersthis original not flavored gives weird taste first time userspersonal feeli use concentration product dilute times use also usually buy original flavor gives clean feel feel peppermint mouth conclusionvalue money concentrated mouthwash available indian market first time users please make sure not mug huge amount mouth,concentrated best mouth wash available indian market,"{'neg': 0.014, 'neu': 0.802, 'pos': 0.184, 'compound': 0.9895}",0.9895,positive
